1,0,1,7
1,0,2,7
1,0,3,31
1,0,4,31
2,0,4,31
1,0,5,31
2,0,5,31
1,0,6,31
2,0,6,31
1,0,7,8
2,0,7,8
3,0,7,8
4,0,7,8
1,0,8,8
2,0,8,8
3,0,8,8
4,0,8,8
1,0,9,1
1,0,10,2
2,0,10,2
2,0,11,3
3,0,11,3
4,0,11,3
8,0,12,6
16,0,13,4
32,0,14,5
1,0,15,9
1,0,16,10
1,0,17,11
1,0,18,12
2,0,19,13
3,0,20,14
4,0,21,15
1,0,22,16
1,0,23,16
2,0,23,17
1,0,24,16
2,0,24,17
1,0,25,18
1,0,26,18
2,0,26,18
1,0,27,18
2,0,27,18
3,0,27,18
4,0,27,18
1,4,28,18
5,6,28,19
5,8,29,19
9,12,29,20
13,14,29,21
1,0,30,18
2,0,30,18
3,0,30,18
4,0,30,18
1,4,31,18
5,8,31,19
1,4,32,18
5,8,32,19
9,12,32,20
1,0,33,18
2,0,33,18
1,0,34,26
1,0,35,26
1,0,36,26
1,0,37,26
1,0,38,26
1,0,39,26
64,0,40,22
128,0,40,22
256,0,40,24
512,0,40,24
64,0,41,22
128,0,41,22
256,0,41,24
512,0,41,24
64,0,42,22
128,0,42,22
256,0,42,24
512,0,42,24
1,0,43,27
2,0,43,28
3,0,43,29
4,0,43,30
5,0,43,30
6,0,43,30
